Date,Leverage,Profitability,Investment,Dividend Yield
2/9/2016,2.2,137.7574751,-0.052714398,3.60%
2/10/2016,2.2,137.7574751,-0.052714398,3.60%
2/11/2016,2.2,137.7574751,-0.052714398,3.60%
2/12/2016,2.2,137.7574751,-0.052714398,3.60%
2/13/2016,2.2,137.7574751,-0.052714398,3.60%
2/14/2016,2.2,137.7574751,-0.052714398,3.60%
2/15/2016,2.2,137.7574751,-0.052714398,3.60%
2/16/2016,2.2,137.7574751,-0.052714398,3.60%
2/17/2016,2.2,137.7574751,-0.052714398,3.60%
2/18/2016,2.2,137.7574751,-0.052714398,3.60%
2/19/2016,2.2,137.7574751,-0.052714398,3.60%
2/20/2016,2.2,137.7574751,-0.052714398,3.60%
2/21/2016,2.2,137.7574751,-0.052714398,3.60%
2/22/2016,2.2,137.7574751,-0.052714398,3.60%
2/23/2016,2.2,137.7574751,-0.052714398,3.60%
2/24/2016,2.2,137.7574751,-0.052714398,3.60%
2/25/2016,2.2,137.7574751,-0.052714398,3.60%
2/26/2016,2.2,137.7574751,-0.052714398,3.60%
2/27/2016,2.2,137.7574751,-0.052714398,3.60%
2/28/2016,2.2,137.7574751,-0.052714398,3.60%
2/29/2016,2.2,137.7574751,-0.052714398,3.60%
3/1/2016,2.2,137.7574751,-0.052714398,3.60%
3/2/2016,2.2,137.7574751,-0.052714398,3.60%
3/3/2016,2.2,137.7574751,-0.052714398,3.60%
3/4/2016,2.2,137.7574751,-0.052714398,3.60%
3/5/2016,2.2,137.7574751,-0.052714398,3.60%
3/6/2016,2.2,137.7574751,-0.052714398,3.60%
3/7/2016,2.2,137.7574751,-0.052714398,3.60%
3/8/2016,2.2,137.7574751,-0.052714398,3.60%
3/9/2016,2.2,137.7574751,-0.052714398,3.60%
3/10/2016,2.2,137.7574751,-0.052714398,3.60%
3/11/2016,2.2,137.7574751,-0.052714398,3.60%
3/12/2016,2.2,137.7574751,-0.052714398,3.60%
3/13/2016,2.2,137.7574751,-0.052714398,3.60%
3/14/2016,2.2,137.7574751,-0.052714398,3.60%
3/15/2016,2.2,137.7574751,-0.052714398,3.60%
3/16/2016,2.2,137.7574751,-0.052714398,3.60%
3/17/2016,2.2,137.7574751,-0.052714398,3.60%
3/18/2016,2.2,137.7574751,-0.052714398,3.60%
3/19/2016,2.2,137.7574751,-0.052714398,3.60%
3/20/2016,2.2,137.7574751,-0.052714398,3.60%
3/21/2016,2.2,137.7574751,-0.052714398,3.60%
3/22/2016,2.2,137.7574751,-0.052714398,3.60%
3/23/2016,2.2,137.7574751,-0.052714398,3.60%
3/24/2016,2.2,137.7574751,-0.052714398,3.60%
3/25/2016,2.2,137.7574751,-0.052714398,3.60%
3/26/2016,2.2,137.7574751,-0.052714398,3.60%
3/27/2016,2.2,137.7574751,-0.052714398,3.60%
3/28/2016,2.2,137.7574751,-0.052714398,3.60%
3/29/2016,2.2,137.7574751,-0.052714398,3.60%
3/30/2016,2.2,137.7574751,-0.052714398,3.60%
3/31/2016,2.2,137.7574751,-0.052714398,3.60%
4/1/2016,2.2,137.7574751,-0.052714398,3.60%
4/2/2016,2.2,137.7574751,-0.052714398,3.60%
4/3/2016,2.2,137.7574751,-0.052714398,3.60%
4/4/2016,2.2,137.7574751,-0.052714398,3.60%
4/5/2016,2.2,137.7574751,-0.052714398,3.60%
4/6/2016,2.2,137.7574751,-0.052714398,3.60%
4/7/2016,2.2,137.7574751,-0.052714398,3.60%
4/8/2016,2.2,137.7574751,-0.052714398,3.60%
4/9/2016,2.2,137.7574751,-0.052714398,3.60%
4/10/2016,2.2,137.7574751,-0.052714398,3.60%
