,Leverage,Profitability,Investment,Dividend Yield
4/7/2016,2,0.070372389,-0.019299287,4.40%
4/8/2016,2,0.070372389,-0.019299287,4.40%
4/9/2016,2,0.070372389,-0.019299287,4.40%
4/10/2016,2,0.070372389,-0.019299287,4.40%
4/11/2016,2,0.070372389,-0.019299287,4.40%
4/12/2016,2,0.070372389,-0.019299287,4.40%
4/13/2016,2,0.070372389,-0.019299287,4.40%
4/14/2016,2,0.070372389,-0.019299287,4.40%
4/15/2016,2,0.070372389,-0.019299287,4.40%
4/16/2016,2,0.070372389,-0.019299287,4.40%
4/17/2016,2,0.070372389,-0.019299287,4.40%
4/18/2016,2,0.070372389,-0.019299287,4.40%
4/19/2016,2,0.070372389,-0.019299287,4.40%
4/20/2016,2,0.070372389,-0.019299287,4.40%
4/21/2016,2,0.070372389,-0.019299287,4.40%
4/22/2016,2,0.070372389,-0.019299287,4.40%
4/23/2016,2,0.070372389,-0.019299287,4.40%
4/24/2016,2,0.070372389,-0.019299287,4.40%
4/25/2016,2,0.070372389,-0.019299287,4.40%
4/26/2016,2,0.070372389,-0.019299287,4.40%
4/27/2016,2,0.070372389,-0.019299287,4.40%
4/28/2016,2,0.070372389,-0.019299287,4.40%
4/29/2016,2,0.070372389,-0.019299287,4.40%
4/30/2016,2,0.070372389,-0.019299287,4.40%
5/1/2016,2,0.070372389,-0.019299287,4.40%
5/2/2016,2,0.070372389,-0.019299287,4.40%
5/3/2016,2,0.070372389,-0.019299287,4.40%
5/4/2016,2,0.070372389,-0.019299287,4.40%
5/5/2016,2,0.070372389,-0.019299287,4.40%
5/6/2016,2,0.070372389,-0.019299287,4.40%
5/7/2016,2,0.070372389,-0.019299287,4.40%
5/8/2016,2,0.070372389,-0.019299287,4.40%
5/9/2016,2,0.070372389,-0.019299287,4.40%
5/10/2016,2,0.070372389,-0.019299287,4.40%
5/11/2016,2,0.070372389,-0.019299287,4.40%
5/12/2016,2,0.070372389,-0.019299287,4.40%
5/13/2016,2,0.070372389,-0.019299287,4.40%
5/14/2016,2,0.070372389,-0.019299287,4.40%
5/15/2016,2,0.070372389,-0.019299287,4.40%
5/16/2016,2,0.070372389,-0.019299287,4.40%
5/17/2016,2,0.070372389,-0.019299287,4.40%
5/18/2016,2,0.070372389,-0.019299287,4.40%
5/19/2016,2,0.070372389,-0.019299287,4.40%
5/20/2016,2,0.070372389,-0.019299287,4.40%
5/21/2016,2,0.070372389,-0.019299287,4.40%
5/22/2016,2,0.070372389,-0.019299287,4.40%
5/23/2016,2,0.070372389,-0.019299287,4.40%
5/24/2016,2,0.070372389,-0.019299287,4.40%
5/25/2016,2,0.070372389,-0.019299287,4.40%
5/26/2016,2,0.070372389,-0.019299287,4.40%
5/27/2016,2,0.070372389,-0.019299287,4.40%
5/28/2016,2,0.070372389,-0.019299287,4.40%
