Date,Size,P/B RATIO,,,,,
7/22/16,"112,110,920,000",3.386,,,,,
7/25/16,"112,110,920,000",3.386,,,,,
7/26/16,"112,110,920,000",3.386,,,,,
7/27/16,"112,110,920,000",3.386,,,,,
7/28/16,"112,110,920,000",3.386,,,,,
7/29/16,"112,110,920,000",3.386,,,,,
8/1/16,"112,110,920,000",3.386,,,,,
8/2/16,"112,110,920,000",3.386,,,,,
8/3/16,"112,110,920,000",3.386,,,,,
8/4/16,"112,110,920,000",3.386,,,,,
8/5/16,"112,110,920,000",3.386,,,,,
8/8/16,"112,110,920,000",3.386,,,,,
8/9/16,"112,110,920,000",3.386,,,,,
8/10/16,"112,110,920,000",3.386,,,,,
8/11/16,"112,110,920,000",3.386,,,,,
8/12/16,"112,110,920,000",3.386,,,,,
8/15/16,"112,110,920,000",3.386,,,,,
8/16/16,"112,110,920,000",3.386,,,,,
8/17/16,"112,110,920,000",3.386,,,,,
8/18/16,"112,110,920,000",3.386,,,,,
8/19/16,"112,110,920,000",3.386,,,,,
8/22/16,"112,110,920,000",3.386,,,,,
8/23/16,"112,110,920,000",3.386,,,,,
8/24/16,"112,110,920,000",3.386,,,,,
8/25/16,"112,110,920,000",3.386,,,,,
8/26/16,"112,110,920,000",3.386,,,,,
8/29/16,"112,110,920,000",3.386,,,,,
8/30/16,"112,110,920,000",3.386,,,,,
8/31/16,"112,110,920,000",3.386,,,,,
9/1/16,"112,110,920,000",3.386,,,,,
9/2/16,"112,110,920,000",3.386,,,,,
9/5/16,"112,110,920,000",3.386,,,,,
9/6/16,"112,110,920,000",3.386,,,,,
9/7/16,"112,110,920,000",3.386,,,,,
9/8/16,"112,110,920,000",3.386,,,,,
9/9/16,"112,110,920,000",3.386,,,,,
9/12/16,"112,110,920,000",3.386,,,,,
9/13/16,"112,110,920,000",3.386,,,,,
9/14/16,"112,110,920,000",3.386,,,,,
9/15/16,"112,110,920,000",3.386,,,,,
9/16/16,"112,110,920,000",3.386,,,,,
9/19/16,"112,110,920,000",3.386,,,,,
9/20/16,"112,110,920,000",3.386,,,,,
9/21/16,"112,110,920,000",3.386,,,,,
9/22/16,"112,110,920,000",3.386,,,,,
9/23/16,"112,110,920,000",3.386,,,,,
9/26/16,"112,110,920,000",3.386,,,,,
9/27/16,"112,110,920,000",3.386,,,,,
9/28/16,"112,110,920,000",3.386,,,,,
9/29/16,"112,110,920,000",3.386,,,,,
9/30/16,"112,110,920,000",3.386,,,,,
10/3/16,"112,110,920,000",3.386,,,,,
10/4/16,"112,110,920,000",3.386,,,,,
10/5/16,"112,110,920,000",3.386,,,,,
10/6/16,"112,110,920,000",3.386,,,,,
10/7/16,"112,110,920,000",3.386,,,,,
10/10/16,"112,110,920,000",3.386,,,,,
10/11/16,"112,110,920,000",3.386,,,,,
10/12/16,"112,110,920,000",3.386,,,,,
10/13/16,"112,110,920,000",3.386,,,,,
10/14/16,"112,110,920,000",3.386,,,,,
10/17/16,"112,110,920,000",3.386,,,,,
10/18/16,"112,110,920,000",3.386,,,,,
10/19/16,"112,110,920,000",3.386,,,,,
10/20/16,"112,110,920,000",3.386,,,,,
10/21/16,"112,110,920,000",3.386,,,,,
10/24/16,"112,110,920,000",3.386,,,,,
10/25/16,"112,110,920,000",3.386,,,,,
10/26/16,"112,110,920,000",3.386,,,,,
10/27/16,"112,110,920,000",3.386,,,,,
10/28/16,"112,110,920,000",3.386,,,,,
10/31/16,"112,110,920,000",3.386,,,,,
11/1/16,"112,110,920,000",3.386,,,,,
11/2/16,"112,110,920,000",3.386,,,,,
11/3/16,"112,110,920,000",3.386,,,,,
11/4/16,"112,110,920,000",3.386,,,,,
11/7/16,"112,110,920,000",3.386,,,,,
11/8/16,"112,110,920,000",3.386,,,,,
11/9/16,"112,110,920,000",3.386,,,,,
11/10/16,"112,110,920,000",3.386,,,,,
11/11/16,"112,110,920,000",3.386,,,,,
11/14/16,"112,110,920,000",3.386,,,,,
11/15/16,"112,110,920,000",3.386,,,,,
11/16/16,"112,110,920,000",3.386,,,,,
11/17/16,"112,110,920,000",3.386,,,,,
11/18/16,"112,110,920,000",3.386,,,,,
11/21/16,"112,110,920,000",3.386,,,,,
11/22/16,"112,110,920,000",3.386,,,,,
11/23/16,"112,110,920,000",3.386,,,,,
11/24/16,"112,110,920,000",3.386,,,,,
11/25/16,"112,110,920,000",3.386,,,,,
11/28/16,"112,110,920,000",3.386,,,,,
11/29/16,"112,110,920,000",3.386,,,,,
11/30/16,"112,110,920,000",3.386,,,,,
12/1/16,"112,110,920,000",3.386,,,,,
