Date,Size,P/B RATIO,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/21/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/23/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/24/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/27/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/28/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/29/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/30/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/12/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/19/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/20/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/21/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/24/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/25/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/26/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/27/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/31/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/7/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/9/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/10/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/11/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/16/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/17/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/23/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/24/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/28/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/29/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/2/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/15,"502,645,380",1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,
