Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,STMR,momentum,ltmr,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
10/21/19,0.205981585,0.298630177,6.9,0.069772999,-0.019102309,2.20%,-0.115158422,3.095635962,0.324777503,"12,240,000,000",7.21,8,1.015625035,26.974911,0.015504221
10/22/19,0.205981585,0.286479295,6.9,0.069772999,-0.019102309,2.20%,-0.115158422,3.095635962,0.324777503,"12,240,000,000",7.21,8,1,26.974911,0
10/23/19,0.205659458,0.261300283,6.9,0.069772999,-0.019102309,2.20%,-0.125467838,2.923442176,0.34375566,"12,240,000,000",7.21,8,0.989743624,26.698246,-0.010309335
10/24/19,0.208697386,0.264823949,6.9,0.069772999,-0.019102309,2.20%,-0.083203284,4.321587904,0.330564598,"12,240,000,000",7.21,8,1.007253851,26.891912,0.007227669
10/25/19,0.208240691,0.255686696,6.9,0.069772999,-0.019102309,2.20%,-0.085249831,4.331021874,0.348058559,"12,240,000,000",7.21,8,0.990397771,26.633688,-0.009648628
10/28/19,0.205276465,0.299079075,6.9,0.069772999,-0.019102309,2.20%,-0.085249831,4.331021874,0.350363479,"12,240,000,000",7.21,8,1,26.633688,0
10/29/19,0.207931004,0.295999123,6.9,0.069772999,-0.019102309,2.20%,-0.105184125,3.699732986,0.383640981,"12,240,000,000",7.21,8,0.980263157,26.108027,-0.019934216
10/30/19,0.206318801,0.313885468,6.9,0.069772999,-0.019102309,2.20%,-0.084310062,4.569739327,0.37743672,"12,240,000,000",7.21,8,1.003885588,26.209471,0.003878059
10/31/19,0.257522234,0.221539151,6.9,0.069772999,-0.019102309,2.20%,-0.014676734,25.02089836,0.272072711,"12,240,000,000",7.21,8,1.047149894,27.445244,0.046072087
11/1/19,0.229692878,0.025696261,6.9,0.069772999,-0.019102309,2.20%,-0.011322149,32.13793465,0.305573427,"12,240,000,000",7.21,8,1.003360249,27.537464,0.003354616
11/4/19,0.229692878,0.033235839,6.9,0.069772999,-0.019102309,2.20%,-0.011322149,32.13793465,0.305573427,"12,240,000,000",7.21,8,1,27.537464,0
11/5/19,0.258887389,-0.008484328,6.9,0.069772999,-0.019102309,2.20%,0.026145231,-12.48423074,0.314425576,"12,240,000,000",7.21,8,1.03817813,28.588793,0.037467379
11/6/19,0.258887389,-0.014926223,6.9,0.069772999,-0.019102309,2.20%,0.057082478,-5.718096241,0.314425576,"12,240,000,000",7.21,8,1,28.588793,0
11/7/19,0.249443526,-0.04816796,6.9,0.069772999,-0.019102309,2.20%,0.080042642,-3.79101601,0.262551239,"12,240,000,000",7.21,8,1.023225774,29.252794,0.022960161
11/8/19,0.248369403,-0.084228744,6.9,0.069772999,-0.019102309,2.20%,0.080042642,-3.79101601,0.186559729,"12,240,000,000",7.21,8,1,29.252794,0
11/11/19,0.260313624,-0.027387543,6.9,0.069772999,-0.019102309,2.20%,0.053203974,-6.207837133,0.252659848,"12,240,000,000",7.21,8,0.973518284,28.478128,-0.026838672
11/12/19,0.281250695,-0.035316525,6.9,0.069772999,-0.019102309,2.20%,0.015251961,-24.14336291,0.329684492,"12,240,000,000",7.21,8,0.962759099,27.417576,-0.037952056
11/13/19,0.277589994,-0.363006028,6.9,0.069772999,-0.019102309,2.20%,0.015251961,-24.14336291,0.328930566,"12,240,000,000",7.21,8,1,27.417576,0
11/14/19,0.300741995,-0.201326528,6.9,0.069772999,-0.019102309,2.20%,-0.030568591,13.60099699,0.405646639,"12,240,000,000",7.21,8,0.95358224,26.144913,-0.047529607
