Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,Short Term Mean Reversioj,momentum,Long Term Mean Reversion,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
8/27/15,0.222603386,0.773627684,2.9,0.117405175,0.931662558,0.00%,-0.047270884,-2.638489245,2.447413177,"9,128,340,000",3.294,9,1.017147682,119.82,0.01700232
8/28/15,0.220486675,0.778742688,2.9,0.117405175,0.931662558,0.00%,-0.062231497,-2.033836858,2.396088803,"9,128,340,000",3.294,9,0.998247379,119.610001,-0.001754158
8/31/15,0.22431225,0.788036054,2.9,0.117405175,0.931662558,0.00%,-0.077866045,-1.20844781,3.169436879,"9,128,340,000",3.294,9,0.984951066,117.809998,-0.015163318
9/1/15,0.227502776,0.765999478,2.9,0.117405175,0.931662558,0.00%,-0.092833146,-0.892119998,3.31646792,"9,128,340,000",3.294,9,0.982514234,115.75,-0.017640447
9/2/15,0.228280318,0.736053846,2.9,0.117405175,0.931662558,0.00%,-0.08999997,-0.817988323,3.756828147,"9,128,340,000",3.294,9,1.005442739,116.379997,0.00542798
9/3/15,0.226613411,0.747311168,2.9,0.117405175,0.931662558,0.00%,-0.065697252,-1.288675719,3.307211686,"9,128,340,000",3.294,9,1.009795498,117.519997,0.009747833
9/4/15,0.227664915,0.747692487,2.9,0.117405175,0.931662558,0.00%,-0.069284943,-1.082494361,3.502747017,"9,128,340,000",3.294,9,0.990384632,116.389999,-0.009661894
9/8/15,0.235068861,0.747162951,2.9,0.117405175,0.931662558,0.00%,-0.054160467,-1.704895806,3.134118533,"9,128,340,000",3.294,9,1.018901942,118.589996,0.01872552
9/9/15,0.235835016,0.756153745,2.9,0.117405175,0.931662558,0.00%,-0.057787042,-1.418916148,3.397632823,"9,128,340,000",3.294,9,0.990808702,117.5,-0.009233799
9/10/15,0.211581578,0.719872185,2.9,0.117405175,0.931662558,0.00%,-0.053269728,-1.73241779,3.013309273,"9,128,340,000",3.294,9,1.000170187,117.519997,0.000170173
9/11/15,0.213630237,0.72628446,2.9,0.117405175,0.931662558,0.00%,-0.043666419,-2.283968031,2.87889204,"9,128,340,000",3.294,9,1.00850919,118.519997,0.008473191
9/14/15,0.208753446,0.724783354,2.9,0.117405175,0.931662558,0.00%,-0.047626058,-2.234149239,2.520884482,"9,128,340,000",3.294,9,0.998059433,118.290001,-0.001942452
9/15/15,0.213930591,0.735176091,2.9,0.117405175,0.931662558,0.00%,-0.039400273,-3.169372898,2.212163423,"9,128,340,000",3.294,9,1.013948778,119.940002,0.013852389
9/16/15,0.213960512,0.727789325,2.9,0.117405175,0.931662558,0.00%,-0.043018303,-2.641953116,2.396992665,"9,128,340,000",3.294,9,0.9995831,119.889999,-0.000416987
9/17/15,0.214417364,0.726579335,2.9,0.117405175,0.931662558,0.00%,-0.038997176,-3.248033794,2.191007591,"9,128,340,000",3.294,9,1.004670932,120.449997,0.004660057
9/18/15,0.212101473,0.704220092,2.9,0.117405175,0.931662558,0.00%,-0.022852476,-5.184307606,2.274117116,"9,128,340,000",3.294,9,0.991282731,119.400002,-0.008755486
9/21/15,0.211887465,0.697687472,2.9,0.117405175,0.931662558,0.00%,-0.012210631,-9.271221082,2.386951305,"9,128,340,000",3.294,9,0.995309833,118.839996,-0.004701201
9/22/15,0.213077523,0.708346039,2.9,0.117405175,0.931662558,0.00%,0.018464125,6.359436606,2.123935697,"9,128,340,000",3.294,9,0.988892637,117.519997,-0.011169511
9/23/15,0.21316113,0.708681433,2.9,0.117405175,0.931662558,0.00%,0.017620088,7.157883991,1.943412857,"9,128,340,000",3.294,9,0.993873434,116.800003,-0.00614541
9/24/15,0.215336831,0.712023188,2.9,0.117405175,0.931662558,0.00%,-0.02136416,-4.886116623,2.248145098,"9,128,340,000",3.294,9,0.987243108,115.309998,-0.01283896
9/25/15,0.221376612,0.706970558,2.9,0.117405175,0.931662558,0.00%,-0.058691315,-1.738458636,2.188288024,"9,128,340,000",3.294,9,0.979880322,112.989998,-0.020324835
9/28/15,0.247660886,0.761156041,2.9,0.117405175,0.931662558,0.00%,-0.099608379,-0.519489175,3.2290289,"9,128,340,000",3.294,9,0.958226382,108.269997,-0.042671222
9/29/15,0.246985615,0.752450111,2.9,0.117405175,0.931662558,0.00%,-0.097553564,-0.363208635,4.082018664,"9,128,340,000",3.294,9,0.986977039,106.860001,-0.013108504
9/30/15,0.252747637,0.760081424,2.9,0.117405175,0.931662558,0.00%,-0.064959047,-0.984540648,2.397577325,"9,128,340,000",3.294,9,1.015066442,108.470001,0.01495407
10/1/15,0.259209855,0.774066036,2.9,0.117405175,0.931662558,0.00%,-0.054745281,-1.556559415,2.032270441,"9,128,340,000",3.294,9,1.015764718,110.18,0.015641746
10/2/15,0.260207032,0.777956177,2.9,0.117405175,0.931662558,0.00%,-0.045523687,-2.076821434,2.040346908,"9,128,340,000",3.294,9,1.01915049,112.290001,0.018969427
10/5/15,0.259964177,0.807573947,2.9,0.117405175,0.931662558,0.00%,-0.025760706,-3.925670172,1.895896384,"9,128,340,000",3.294,9,1.010152275,113.43,0.010101087
10/6/15,0.244985236,0.793035069,2.9,0.117405175,0.931662558,0.00%,-0.072558863,-1.158234228,1.970245485,"9,128,340,000",3.294,9,0.972317738,110.290001,-0.028072637
