Date,Trailing Volatility,Trailing Beta,Leverage,Profitability,Investment,Dividend Yield,Short Term Mean Reversion,,Long Term Mean Reversion,Size,P/B Ratio,Sector Index,Normal Return,Adj Close,Log Returns
11/6/19,0.474602771,2.109394479,2.1,-0.291581372,1.761837456,0.00%,-0.175361706,-0.578489892,6.983049252,,,9,0.974201414,15.86,-0.026137206
11/7/19,0.491487262,2.018448129,2.1,-0.291581372,1.761837456,0.00%,-0.211087089,-0.219481975,12.44124082,,,9,0.94703657,15.02,-0.05441757
11/8/19,0.608564964,2.097505966,2.1,-0.291581372,1.761837456,0.00%,-0.069628287,-2.137084648,4.046139633,,,9,1.117177164,16.780001,0.110805114
11/11/19,0.631817043,1.909828319,2.1,-0.291581372,1.761837456,0.00%,-0.012845694,-25.44435294,2.084782591,,,9,1.0601907,17.790001,0.058448797
11/12/19,0.618706936,1.633151121,2.1,-0.291581372,1.761837456,0.00%,-0.07323747,-3.843851693,2.462212351,,,9,0.9690837,17.24,-0.031404293
11/13/19,0.618080131,2.530106282,2.1,-0.291581372,1.761837456,0.00%,-0.046101587,-5.836261555,2.64523999,,,9,1.008120592,17.379999,0.008087797
11/14/19,0.60748589,2.376995506,2.1,-0.291581372,1.761837456,0.00%,-0.048817604,-7.193839165,2.603406919,,,9,1.000575374,17.389999,0.000575209
11/15/19,0.64703583,2.894480922,2.1,-0.291581372,1.761837456,0.00%,0.072547664,6.003788915,2.608516451,,,9,1.07648074,18.719999,0.073697147
11/18/19,0.650541273,3.116204592,2.1,-0.291581372,1.761837456,0.00%,0.028890898,12.02750985,3.174241436,,,9,0.975427403,18.26,-0.024879542
11/19/19,0.658826634,2.907584425,2.1,-0.291581372,1.761837456,0.00%,0.138551394,2.757319889,2.736466203,,,9,1.062431544,19.4,0.060560191
11/20/19,0.658277649,2.917933813,2.1,-0.291581372,1.761837456,0.00%,0.163930647,2.476575471,2.500393753,,,9,0.988659794,19.18,-0.011404997
11/21/19,0.65839761,3.020328638,2.1,-0.291581372,1.761837456,0.00%,0.161739708,2.983299246,2.034844915,,,9,1.022940615,19.620001,0.022681436
11/22/19,0.651240719,4.321318253,2.1,-0.291581372,1.761837456,0.00%,0.150834773,2.934898561,2.212177963,,,9,0.997451529,19.57,-0.002551724
11/25/19,0.665564135,4.686308129,2.1,-0.291581372,1.761837456,0.00%,0.148575584,3.052413897,2.330073464,,,9,1.05109862,20.57,0.049835922
11/26/19,0.664929034,4.953006455,2.1,-0.291581372,1.761837456,0.00%,0.172562546,2.319611344,2.664262629,,,9,0.981526544,20.190001,-0.018646222
11/27/19,0.661566158,4.766658347,2.1,-0.291581372,1.761837456,0.00%,0.188376417,2.185354882,2.621068215,,,9,1.00099049,20.209999,0.00099
11/29/19,0.664016288,4.690129576,2.1,-0.291581372,1.761837456,0.00%,0.211279472,1.664441879,3.05767345,,,9,0.984661108,19.9,-0.01545775
12/2/19,0.669448442,4.633134096,2.1,-0.291581372,1.761837456,0.00%,0.117716619,2.635579787,3.210873565,,,9,0.945728643,18.82,-0.055799598
12/3/19,0.668439909,3.968347184,2.1,-0.291581372,1.761837456,0.00%,0.153975756,2.036340431,3.171977551,,,9,1.012752338,19.059999,0.012671712
